parameter
"(x = 0.9253241825859344, param = 2.3169863799599453, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 40)"
"(x = 0.9253241825859344, param = 2.3876970580786, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 41)"
"(x = 0.9253241825859344, param = 2.4584077361972545, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 42)"
"(x = 0.9253241825859344, param = 2.529118414315909, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 43)"
"(x = 0.9253241825859344, param = 2.5998290924345637, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 44)"
"(x = 0.9253241825859344, param = 2.6705397705532183, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 45)"
"(x = 0.9253241825859344, param = 2.741250448671873, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 46)"
"(x = 0.9253241825859344, param = 2.8119611267905276, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 47)"
"(x = 0.9253241825859344, param = 2.882671804909182, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 48)"
"(x = 0.9253241825859344, param = 2.953382483027837, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 49)"
"(x = 0.9253241825859344, param = 3.0240931611464914, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 50)"
"(x = 0.9253241825859344, param = 3.094803839265146, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 51)"
"(x = 0.9253241825859344, param = 3.1655145173838006, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 52)"
"(x = 0.9253241825859344, param = 3.2362251955024552, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 53)"
